ID	TCGA_BC_A10Q_LIHC_NT	TCGA_BC_A10T_LIHC_NT	TCGA_BC_A10W_LIHC_NT	TCGA_2V_A95S_LIHC_TP	TCGA_2Y_A9GS_LIHC_TP	TCGA_2Y_A9GU_LIHC_TP	TCGA_A7_A0CE_BRCA_NT	TCGA_A7_A0CH_BRCA_NT	TCGA_A7_A0D9_BRCA_NT	TCGA_3C_AAAU_BRCA_TP	TCGA_3C_AALJ_BRCA_TP	TCGA_3C_AALK_BRCA_TP
ENSG00000104731	317	251	523	380	617	191	322.6254	278.7438	202.6375	792.026	550.3173	496.897
ENSG00000087448	413	333	361	565	666	175	1018.4127	598.7776	463.8493	1007.4377	3342.7017	1185.7675
ENSG00000179023	156	99	282	590	2257	687	76.1905	388.5284	41.7515	2661.1108	382.5929	973.9346
ENSG00000130487	15	12	25	968	2217	955	108.5714	75.9756	6.6191	1616.7945	389.8459	1814.6463
ENSG00000162873	4	1	1	173	534	286	31.4286	9.4029	0	215.7564	114.2339	88.1258
ENSG00000185909	180	302	352	180	595	57	650.7937	1138.1288	1448.5743	231.9554	281.0517	114.1911
ENSG00000162755	121	84	134	232	971	815	141.2698	91.7724	21.3849	3917.0475	621.0335	2307.8196
ENSG00000161594	0	0	1	49	89	17	3.8095	4.1373	5.0916	23.7815	21.7588	36.8225
ENSG00000178502	17	12	13	187	322	138	38.0952	16.5491	54.9898	174.742	234.8141	102.6065
ENSG00000117153	448	470	458	304	641	187	805.7143	848.8952	957.7393	386.3625	276.5186	102.6065
ENSG00000003096	37	74	103	19	5	2	1465.3968	764.645	140.5295	4.8252	3.6265	16.5494
ENSG00000197705	1	1	6	3	5	656	16.5079	39.4922	7.6375	1852.8858	3.6265	13.6533
ENSG00000174010	931	986	809	1146	5206	2713	245.0794	205.7358	401.7312	2218.5688	966.4551	1022.3417
ENSG00000187961	35	18	59	6899	8482	9525	96.1905	60.5548	21.3849	1682.6244	1668.1777	2189.0774
ENSG00000114648	172	178	228	284	1098	376	416.5079	367.842	445.0102	774.1037	786.9447	420.7695
ENSG00000076321	500	364	325	212	371	329	297.7778	376.4927	921.5886	421.5177	212.1487	271.8246
ENSG00000162413	319	264	1014	1365	1917	1147	1827.9365	2147.2496	2877.2912	887.1518	374.4334	374.0174
ENSG00000099910	290	215	405	458	1196	77	581.5873	596.1448	543.279	216.4457	205.8024	75.3
ENSG00000213160	45	48	31	2086	2645	1589	84.7619	48.1429	78.9206	1538.2123	2528.5585	1702.9375
ENSG00000114796	1622	815	1066	289	1089	187	766.6667	1012.1298	1770.3666	645.2013	616.5005	371.1212
ENSG00000183655	456	723	389	82	148.03	121	244.4444	306.9111	327.3931	257.4601	151.4143	150.5999
